country,temperature_celsius,wind_kph,humidity,uv_index,condition_text,condition_category,condition_score,HRS_of_light
Kenya,23.555068493150685,13.545479452054796,50.52602739726027,10.136438356164383,partly cloudy,Partly Cloudy,4,0.5
Kiribati,27.92356164383562,20.927671232876712,75.4904109589041,0.4087671232876712,patchy rain nearby,Rain,1,0.5
Komoren,25.2,24.8,71.0,8.0,partly cloudy,Partly Cloudy,4,0.48
Kosovo,29.3,9.4,42.0,6.0,patchy rain nearby,Rain,1,0.64
Kuwait,31.823287671232876,16.31972602739726,25.504109589041096,6.92027397260274,sunny,Clear,5,0.59
Kyrghyzstan,15.63890410958904,9.49972602739726,49.59452054794521,3.5961643835616437,sunny,Clear,5,0.64
Lao People'S Democratic Republic,25.0,9.0,95.0,1.0,light rain shower,Rain,1,0.55
Latvia,11.674794520547946,14.557808219178083,69.73698630136987,2.6684931506849314,sunny,Clear,5,0.47
Lebanon,23.56931506849315,13.937534246575343,58.8,5.287123287671233,partly cloudy,Partly Cloudy,4,0.46
Lesotho,21.507123287671234,14.638082191780821,37.78904109589041,8.343287671232877,sunny,Clear,5,0.43
Letonia,20.6,13.3,94.0,5.0,light rain shower,Rain,1,0.72
Liberia,27.270958904109587,10.055068493150685,83.41917808219178,4.073424657534247,partly cloudy,Partly Cloudy,4,0.52
Libya,27.0,31.7,74.0,7.0,sunny,Clear,5,0.6
Liechtenstein,11.078082191780823,7.657808219178082,77.12876712328767,2.7156164383561645,partly cloudy,Partly Cloudy,4,0.35
Lithuania,11.532876712328767,15.411780821917809,67.20547945205479,2.856986301369863,sunny,Clear,5,0.72
Luxembourg,11.62054794520548,14.35890410958904,74.79452054794521,2.522191780821918,partly cloudy,Partly Cloudy,4,0.46
Macedonia,19.167123287671235,7.297808219178082,53.06301369863014,4.2435616438356165,partly cloudy,Partly Cloudy,4,0.38
Madagascar,25.848219178082193,13.212602739726028,38.5013698630137,8.114520547945206,sunny,Clear,5,0.46
