country,temperature_celsius,condition_text,wind_kph,humidity,uv_index,condition_category,HRS_of_light
Usa United States Of America,18.2,sunny,6.8,43,5.0,Clear,0.62
Lao People'S Democratic Republic,25.0,light rain shower,9.0,95,1.0,Rain,0.55
Libya,27.0,sunny,31.7,74,7.0,Clear,0.6
Kosovo,29.3,patchy rain nearby,9.4,42,6.0,Rain,0.64
Togo,27.9,light rain shower,19.1,74,6.0,Rain,0.52
Komoren,25.2,partly cloudy,24.8,71,8.0,Partly Cloudy,0.48
Estonie,23.3,partly cloudy,16.9,61,6.0,Partly Cloudy,0.75
Inde,31.2,mist,6.8,71,9.0,Fog,0.58
Letonia,20.6,light rain shower,13.3,94,5.0,Rain,0.72
Mexique,27.4,partly cloudy,15.1,72,7.0,Partly Cloudy,0.55
Marrocos,40.3,sunny,16.9,14,10.0,Clear,0.59
Saint-Vincent-Et-Les-Grenadines,27.8,patchy rain nearby,27.0,82,6.0,Rain,0.53
Saudi Arabien,45.0,sunny,24.5,7,11.0,Clear,0.56
Jemen,26.1,patchy light drizzle,14.8,34,6.0,Rain,0.54
Cote D'Ivoire,21.8,cloudy,9.0,81,1.4,Cloudy,0.51
