country,Mid_range_meal_pp,One_way_local_transport_ticket,Apartment,temperature_celsius,wind_kph,humidity,uv_index,condition_text,condition_category,HRS_of_light,Disaster_Count,Median_Severity,Unique_Days_Under_Threat
Guyana,24.96,0.57,329.0,25.0972602739726,8.964931506849315,92.56712328767124,2.23972602739726,partly cloudy,Partly Cloudy,0.51,0.0,0.0,0.0
Haiti,30.93,0.5,523.86,22.588219178082195,8.601917808219177,84.96712328767123,2.452054794520548,clear,Clear,0.55,2.0,0.5,7.0
Honduras,13.8,0.71,293.45,18.950410958904108,6.365479452054795,88.56712328767124,1.6054794520547946,partly cloudy,Partly Cloudy,0.53,4.0,0.625,307.0
Hungary,14.95,0.84,304.48,15.88027397260274,11.563287671232878,57.8027397260274,3.5657534246575344,sunny,Clear,0.46,1.0,0.0,7.0
Iceland,42.41,2.81,1254.03,5.742739726027397,28.513698630136982,81.71506849315068,1.1191780821917807,partly cloudy,Partly Cloudy,0.19,2.0,0.25,62.0
India,5.22,0.3,110.05,31.15123287671233,10.25068493150685,39.44383561643836,3.8676712328767127,mist,Fog,0.51,25.0,0.25,104.0
Indonesia,6.33,0.34,197.1,26.489589041095893,9.964931506849316,76.52054794520548,1.96,patchy rain nearby,Rain,0.51,18.0,0.5,315.0
Iran,13.47,0.37,711.18,27.49945205479452,15.93945205479452,21.791780821917808,6.615616438356164,sunny,Clear,0.61,0.0,0.0,0.0
Iraq,8.97,0.46,280.6,30.48328767123288,17.13972602739726,25.78630136986301,6.63945205479452,sunny,Clear,0.41,3.0,0.25,7.0
Ireland,37.89,2.93,1212.99,11.589315068493152,16.605205479452053,77.4958904109589,1.9304109589041096,partly cloudy,Partly Cloudy,0.55,1.0,0.0,7.0
Israel,39.78,1.65,1009.44,24.111780821917804,16.67287671232877,43.38082191780822,5.8832876712328765,sunny,Clear,0.46,0.0,0.0,0.0
Italy,28.26,1.53,559.0,20.415342465753422,11.536712328767122,61.21917808219178,4.088767123287672,sunny,Clear,0.63,13.0,0.0,306.0
Jamaica,19.12,0.96,294.8,27.05369863013699,8.363835616438356,78.48493150684932,2.372602739726027,partly cloudy,Partly Cloudy,0.55,0.0,0.0,0.0
Japan,15.19,1.71,535.8,18.583287671232878,17.29013698630137,65.57260273972602,0.4334246575342465,partly cloudy,Partly Cloudy,0.61,7.0,0.25,17.0
Jordan,13.24,0.67,215.73,23.076986301369864,17.89232876712329,36.90684931506849,6.042739726027397,sunny,Clear,0.59,1.0,0.5,20.0
