country,Mid_range_meal_pp,One_way_local_transport_ticket,Apartment,temperature_celsius,wind_kph,uv_index,condition_text,condition_category,condition_score,Disaster_Count,Median_Severity,Unique_Days_Under_Threat
Hungary,14.95,0.84,304.48,15.88027397260274,11.563287671232878,3.5657534246575344,sunny,Clear,5,1.0,0.0,7.0
Iceland,42.41,2.81,1254.03,5.742739726027397,28.513698630136982,1.1191780821917807,partly cloudy,Partly Cloudy,4,2.0,0.25,62.0
India,5.22,0.3,110.05,31.15123287671233,10.25068493150685,3.8676712328767127,mist,Fog,2,25.0,0.25,104.0
Indonesia,6.33,0.34,197.1,26.489589041095893,9.964931506849316,1.96,patchy rain nearby,Rain,1,18.0,0.5,315.0
Iran,13.47,0.37,711.18,27.49945205479452,15.93945205479452,6.615616438356164,sunny,Clear,5,0.0,0.0,0.0
Iraq,8.97,0.46,280.6,30.48328767123288,17.13972602739726,6.63945205479452,sunny,Clear,5,3.0,0.25,7.0
Ireland,37.89,2.93,1212.99,11.589315068493152,16.605205479452053,1.9304109589041096,partly cloudy,Partly Cloudy,4,1.0,0.0,7.0
Israel,39.78,1.65,1009.44,24.111780821917804,16.67287671232877,5.8832876712328765,sunny,Clear,5,0.0,0.0,0.0
Italy,28.26,1.53,559.0,20.415342465753422,11.536712328767122,4.088767123287672,sunny,Clear,5,13.0,0.0,306.0
Jamaica,19.12,0.96,294.8,27.05369863013699,8.363835616438356,2.372602739726027,partly cloudy,Partly Cloudy,4,0.0,0.0,0.0
Japan,15.19,1.71,535.8,18.583287671232878,17.29013698630137,0.4334246575342465,partly cloudy,Partly Cloudy,4,7.0,0.25,17.0
Jordan,13.24,0.67,215.73,23.076986301369864,17.89232876712329,6.042739726027397,sunny,Clear,5,1.0,0.5,20.0
Kazakhstan,10.82,0.18,208.46,8.631780821917808,18.42410958904109,2.9597260273972603,partly cloudy,Partly Cloudy,4,1.0,0.25,8.0
Kenya,10.05,0.68,138.2,23.555068493150685,13.545479452054796,10.136438356164383,partly cloudy,Partly Cloudy,4,5.0,1.0,16.0
Kuwait,21.14,1.06,755.31,31.82328767123288,16.31972602739726,6.92027397260274,sunny,Clear,5,0.0,0.0,0.0
Latvia,17.09,0.8,261.97,11.674794520547946,14.557808219178083,2.6684931506849314,sunny,Clear,5,2.0,0.125,11.0
Lebanon,21.25,1.47,478.12,23.56931506849315,13.937534246575344,5.287123287671233,partly cloudy,Partly Cloudy,4,1.0,1.0,7.0
Lesotho,11.66,0.47,292.75,21.507123287671234,14.63808219178082,8.343287671232877,sunny,Clear,5,2.0,0.625,313.0
Liberia,22.5,3.0,1312.5,27.270958904109587,10.055068493150683,4.073424657534247,partly cloudy,Partly Cloudy,4,2.0,0.625,5.0
Libya,8.82,0.87,143.99,27.0,31.7,7.0,sunny,Clear,5,2.0,0.5,3.0
Liechtenstein,47.99,4.6,1267.62,11.078082191780824,7.657808219178082,2.7156164383561645,partly cloudy,Partly Cloudy,4,1.0,0.0,7.0
Lithuania,16.84,0.83,345.97,11.532876712328768,15.411780821917809,2.856986301369863,sunny,Clear,5,1.0,0.0,7.0
Luxembourg,32.45,0.0,1473.27,11.62054794520548,14.35890410958904,2.522191780821918,partly cloudy,Partly Cloudy,4,1.0,0.0,7.0
Madagascar,6.8,0.16,251.06,25.848219178082196,13.212602739726028,8.114520547945206,sunny,Clear,5,4.0,0.625,20.0
Malawi,14.78,0.48,253.8,25.912054794520547,12.704931506849316,9.637808219178083,partly cloudy,Partly Cloudy,4,2.0,0.5,4.0
Malaysia,8.03,0.6,286.4,28.815068493150687,5.730684931506849,1.703013698630137,partly cloudy,Partly Cloudy,4,6.0,1.0,56.0
Maldives,13.0,0.65,855.01,28.10794520547945,19.06684931506849,6.037260273972603,patchy rain nearby,Rain,1,1.0,0.25,46.0
Mali,25.84,4.67,1000.0,29.19232876712329,12.1786301369863,4.783287671232877,sunny,Clear,5,2.0,0.375,47.0
Malta,33.7,1.79,845.58,22.810410958904107,19.9413698630137,4.292602739726028,partly cloudy,Partly Cloudy,4,1.0,0.0,7.0
Marshall Islands,22.0,2.0,1116.67,28.184931506849317,22.51232876712329,0.4054794520547945,overcast,Cloudy,3,0.0,0.0,0.0
Mauritania,13.5,0.56,280.67,24.302465753424656,21.33178082191781,3.8372602739726025,sunny,Clear,5,1.0,0.5,2.0
Mauritius,17.18,0.79,229.1,26.84767123287671,18.696438356164386,8.023561643835617,partly cloudy,Partly Cloudy,4,1.0,0.5,2.0
