country,Holiday_Index_PCA,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Paraguay,0.5396809170187249,-0.9454740427802516,-0.3975452097777022,-0.6271341195326791,1.2297325137020343,0.8601055984766687,-0.1510585523779237,-0.0114583904062076
Peru,0.43733021592352855,-1.7453241799366972,-2.146573952063662,-0.5212098453606732,-0.5407972792386819,-0.5304431441462872,-0.6998414151666615,0.2642750297784791
Philippines,0.1497114377509334,-3.173893397592399,-2.14776852679228,1.4514632707925983,0.1501226437937715,0.98187377869566,-1.5751405040379338,1.3908068793501154
Poland,0.804057272139619,0.5290538133243797,-0.0657923275072783,-1.2937333602980778,-0.5473335669467072,0.0248326893721482,-0.163708141401054,-0.5829705510984386
Portugal,0.7683570614479136,0.7561557118174921,-0.1898353716159598,-0.276854675115957,-0.2269349792000471,0.5360282650750844,0.0854542898123936,0.1516928774386966
Qatar,0.8588999360092084,0.6996050782596497,2.260104015147294,1.326660606101642,0.0148002260438821,-0.9734248857992572,-0.6764596342944328,-0.1377518266801542
Romania,0.7603973114284183,-0.1151946481676157,0.0315730559680584,-1.1305214910703645,-0.5191187429561085,-0.4169213537793347,-0.0859373071502691,-0.3276832243687036
Russia,0.8242815651483801,0.8354302324437781,-0.0670512209499691,-1.455803796365657,-0.5248977744637162,0.1370657422579505,-0.2466944524036472,-1.05487992530538
Rwanda,0.6530866713978886,-1.3344468694894585,1.1892195608725735,0.1127042393775124,1.0339725368433272,-0.8580263841019611,1.3507202670363685,-0.4955064924161403
Saint Kitts And Nevis,0.9256100793783112,2.163944412899648,1.188103015624233,0.9084202503722364,-1.059078869107127,0.6105716563894894,-1.3609277070990362,-0.0764603851996623
Saint Lucia,0.87113209727736,1.2288473752516835,1.0256181896458498,0.1352013732074266,-0.6453523588667182,0.1958494880419563,-1.0921512467017804,0.2283780462872907
Saint Vincent And The Grenadines,0.8875834815784635,1.288718683274324,1.5145030708960772,0.3571209093911223,-1.2248965385898871,0.8173372084317203,-1.5443186576400925,0.0755295874350761
Samoa,0.872792906321232,1.6030558824419778,0.313737303397995,0.0029877014390842,-0.3462809654591706,0.3973418033053837,-1.0315592085326846,1.2015092798874931
San Marino,0.8972132855110706,1.5543164860501328,-0.1279915943079943,-0.5364883475155345,-0.3786835689774144,-0.1676563770952059,0.599760282352693,0.1523225395389358
Saudi Arabia,0.7841526004672962,-0.4988997396894017,2.080878755573495,0.6631763889130821,-0.1173592598786403,-0.2866661291160693,0.3699593029462836,0.3118796152948579
Senegal,0.7946699100549405,0.2473116510400003,1.0977862283426367,-0.0512947524800302,-0.9766855887386716,0.1701761403466141,-1.228430808842223,-0.0131408287156867
Serbia,0.663373014685988,-0.5787964452679049,-0.3883741769090982,-0.802589726248524,-0.4036885293431688,0.1818311079650252,0.0907316555136764,-0.073023997802668
Sierra Leone,0.682988577602274,0.0063033053780104,0.4275274087526006,0.0547920766810875,1.400902117405414,-1.0861319477546534,-0.8044593172258078,-0.102603502824231
