country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Chad,-0.08972808455003928,2.001888661640187,1.1123282369924272,0.2777303775451806,-0.42792780305699146,-0.21510825857962326,0.24135408817848053,-0.4803640194481762,-0.21747916053412553
Chile,-0.8803754996087252,-2.350919994661021,-0.849207293733969,1.7317557847123817,0.9888182975613545,0.44800844652534394,-0.7564674692614456,0.05844409412351776,0.5324555264187748
China,-3.7520859442175607,-5.193884185920487,1.950351332179338,-2.7879090915017426,-0.9492069248016648,-1.572459978877939,0.05636361512983935,-0.7507507702672044,0.690832223200916
Colombia,-1.1983938806415337,-0.8257117693079411,-1.2664453538295246,0.3321175977634285,-0.7053074944599823,0.3819129379392861,-0.04011467033554908,-0.25953736640542663,0.06939656764986665
Costa Rica,-0.654449297614131,-1.2011214850601666,-0.40980601057763955,1.8723211051380206,1.1682575856729156,0.3325239895307254,-0.21272364453146622,0.6637277065090434,-0.11863292756502745
Croatia,0.16292061358421425,-0.8231734397810913,-0.9592048605152795,0.2086890174283257,-0.1927733762709463,0.7469081905785222,0.0837571400045793,-0.11795736531869044,0.1276170289657892
Cuba,-0.15539846137082577,0.3658002238651375,-0.9082471285632018,-0.5171304391763757,-0.16923269129853707,-1.0551776566835855,0.18910790503818647,0.07616004187764643,-0.05575640059360171
Cyprus,0.8709335052758084,0.833797078874036,0.2588056981464697,-0.41251788254573646,-0.5601580228511387,0.4142272007293805,0.38716835339171596,0.13467158309046817,-0.017529665418771278
Denmark,3.5417319735741453,-0.8641791628145498,0.5130438566905854,-1.1972409036607754,0.807104424824467,0.8160799257009578,0.21249397562640987,-0.035745073942573855,0.13920326883361592
Djibouti,0.4802388298061082,2.4567256561968382,1.1806034346050798,-0.31122490867250935,-1.0700964622863771,0.05310710056835938,-0.4753297942326691,0.39218650837845215,0.6748114680414603
Dominica,1.1077141065434748,0.5853806283187115,-0.21421610356717033,-0.3557431783057861,-0.14913955766508089,-0.5226060884876512,0.5436205138047586,1.0901373828183596,0.060254009800367096
Dominican Republic,-0.881420878050073,-0.6879930948369561,0.11140654603074814,1.603419559668158,1.1911055828420143,0.03398151157716106,0.4044661228782985,0.5741899492830185,0.5318895432522662
Ecuador,-1.354670682813062,-2.45636565464903,-0.6461362065714416,1.4966832891285742,0.9361307761301668,0.4165901866874789,-1.2634005880570989,0.25386981262851827,-0.11460714245580061
Egypt,-1.122867759144387,1.7204512031900032,-0.4252620654389784,-0.16471137622655582,0.03174493904357223,-0.08271051824059701,-0.018520342464069188,-0.18980194425734898,-0.1340234614994653
El Salvador,-0.4225948252668654,-0.495461018993141,-1.3545476505631326,1.038493596262735,-1.1502486925114979,-0.5332572148055409,0.27628271722615455,0.17792294326441574,-0.3037956649576267
Equatorial Guinea,-0.3300933088206558,0.20833407450634733,0.28725888118354065,0.21490312147302434,-0.785181087422659,1.0416864150121077,0.40236982161812035,0.9256215974302608,-0.29698456158188385
Eritrea,-0.42884461234949234,1.3955760363124388,-0.6402337531739164,0.036973908552271305,-1.1632360069316738,0.5813557671084085,-0.7809046095280339,-0.7680744127640327,-0.13245483416786652
Estonia,1.2193840646006298,-0.2072675364616259,-1.1715799688580248,-1.1196432227716984,0.7338589665776085,-0.4338182336272793,-0.9221242904533212,-0.2508742334124913,0.10223840417608428
Ethiopia,-1.8510740016053593,0.787839626774996,0.5907448244324254,1.115165031701064,0.9145253988743867,1.1382256325588065,-1.1591424708516862,-0.5410462150263978,0.25391011582570605
Finland,3.069692876874625,-0.9520492823993153,-0.04294048533181927,-1.1937593416118961,0.7835867078828056,0.8683504767364005,0.04169074335136013,-0.03362359496658934,0.14558153282933542
France,0.6825382590657265,-1.5546697909859448,0.0599669647168386,-0.4849688006610467,0.12213304262080299,0.023361787729939486,0.13751630589462097,-0.6123119526000884,0.9944741988173776
Gabon,0.4247795598395816,0.610432182676684,0.8763929039694713,1.0114103754883625,-0.8897432760517264,0.1838993630349871,-0.33818365202132955,0.8962536388270592,1.1570302346120198
Georgia,-0.6044103133458331,0.031852649425413285,-0.8170462057933512,0.6523889292911951,0.367109423615187,0.0461820144861054,-0.6296356260397404,-0.15385522852895703,0.33246020765981826
Germany,1.8279491827495975,-0.9925638060972217,-0.1504512762705045,-0.983757232417619,0.17850954566331625,0.7318097664456109,0.4826980395039649,-0.505904321472027,0.036522801945824905
Ghana,-1.3948100799173737,1.1393337021368322,0.07592159833976105,0.6859557345075228,0.6203750035394258,-0.239638888544734,0.23179465167489333,-0.17729053060262168,-0.21369352898760072
Greece,-0.21660476803966688,-0.05504255568388346,0.4187152608509434,-0.593252211276255,0.024683562994155254,-0.034153151790365543,0.3525283343789668,-0.3339910154312417,0.5998130847354398
Guatemala,-0.8213741930728382,-1.3208030975777083,-0.728906821725662,1.951071755378606,1.1334287251723836,0.12847999434050028,-0.19348730843174383,0.1608237901458718,0.3037765332180514
Guinea,-0.9311113225459713,0.08727710122207,0.3652009280056185,1.8255918004473497,1.046728482834769,0.20965693312494407,0.39123242874199643,0.2580943001918033,0.12213994392540642
Guinea-Bissau,-0.8088274924732735,0.6191883424788864,-0.44437495051407383,0.8076450762314026,0.3445467051435732,-0.046196673475169016,0.5455447623695654,0.059021685690638,-0.38368190840758715
Guyana,0.4300980990416062,0.15955365159355836,-0.9788888646317679,0.3474159589774898,-0.8982023916658174,-0.4194074895039525,0.1953304637630625,1.0596394277747276,0.0853756971655653
Haiti,0.18198069416875717,-0.4658696014414741,-0.24623013735980653,1.1686869061437033,-0.08795560936363195,-0.21363753358977453,-0.22084686044592622,0.9316620518163412,0.7256087882215124
Honduras,-1.9156875862705638,-2.6743436549803796,0.6403330824538291,0.047084260434316585,-0.05704722233087975,0.21953262078938338,-1.106476252237665,1.342744770772072,-1.6901850311746214
Hungary,0.3242965676852581,-0.10104727974622475,-1.3550404658805089,-0.3261737958764434,-0.3231302115002844,0.11524384203657405,-0.36892859056269617,-0.17320013317519894,-0.1445025530099082
Iceland,3.450957713216207,-1.0908219921103863,1.1551208941836288,-1.7104917499986712,2.280473966141107,-0.4453369634743623,-1.0801271315772083,-0.5971588361138401,-0.05180557863028242
India,-3.497627239232928,-1.913672152072871,1.1327660026440924,-1.3951421235817107,-1.1703895684854533,-1.2709936036320177,1.9483929842984855,-1.040369666957135,1.814816676332369
Indonesia,-3.6017108739997568,-3.078475738314582,1.7294175025442453,-1.3054702244282814,-0.5079973505886366,-1.0122869572568085,0.3076299114169604,0.2889170100176541,-0.40875819069453107
Iran,-0.10843864206489226,1.7587433676051776,-0.05090362175287087,-0.17801035869596749,-0.740000031677638,-0.25931099588914874,-0.1669943941246282,-0.3141638137489786,-0.2784273864612131
Iraq,-1.0607731271394905,1.6934624428092453,0.2183335187747013,-0.3000746419946837,-0.057474397362414914,-0.2130966269012833,0.4016505964554355,-0.249434768364656,0.011810678789359505
Ireland,3.11952372392282,-1.00982967171863,0.1802186527854096,-0.6272264139366974,0.33766576712244417,0.35763506618207125,-0.09262292514773486,-0.26670096471851906,-0.012771431072672016
